series,season,winner,series_id
Twenty20 Cup,2003,Surrey,124121
Standard Bank Pro20 Series (in South Africa),2003/04,Eagles,134226
Twenty20 Cup (in England),2004,Leics,134471
Twenty-20 Tournament (in Sri Lanka),2004,Chilaw,304926
Australia in New Zealand T20I Match,2004/05,Australia,238218
Standard Bank Pro20 Series (in South Africa),2004/05,Titans,143771
ABN-AMRO Twenty-20 Cup (in Pakistan),2004/05,Wolves,225374
Australia in England T20I Match,2005,England,238219
Twenty20 Cup (in England),2005,Somerset,135893
International 20:20 Club Championship (in England),2005,Wolves,218272
New Zealand in South Africa T20I Match,2005/06,New Zealand,238166
Twenty-20 Tournament (in Sri Lanka),2005/06,Sinhalese,221341
South Africa in Australia T20I Match,2005/06,Australia,226335
Australian Twenty20 Competition (in Australia),2005/06,Victoria,231859
New Zealand Twenty20 Competition,2005/06,Canterbury,232574
West Indies in New Zealand T20I Match,2005/06,New Zealand,237244
Standard Bank Pro20 Series (in South Africa),2005/06,Eagles,219193
Australia in South Africa T20I Match,2005/06,South Africa,238137
ABN-AMRO Twenty-20 Cup (in Pakistan),2005/06,S Stallions,238596
Sri Lanka in England T20I Match,2006,Sri Lanka,224906
Twenty20 Cup (in England),2006,Leics,224867
Stanford 20/20 (in West Indies),2006,Guyana,228881
Pakistan in England T20I Match,2006,Pakistan,224904
Southland State Twenty20,2006/07,shared,269967
Zimbabwe in Bangladesh T20I Match,2006/07,Bangladesh,264062
India in South Africa T20I Match,2006/07,India,255953
ABN-AMRO Twenty-20 Cup (in Pakistan),2006/07,S Stallions,272754
Sri Lanka in New Zealand T20I Series,2006/07,drawn,251042
England in Australia T20I Match,2006/07,Australia,249147
KFC Twenty20 (in Australia),2006/07,Victoria,251597
Pakistan in South Africa T20I Match,2006/07,South Africa,255956
State Twenty20 (in New Zealand),2006/07,Auckland,254417
Twenty-20 Tournament (in Sri Lanka),2006/07,Ragama,281543
Standard Bank Pro20 Series (in South Africa),2006/07,Lions,256853
Inter State Twenty-20 Tournament (in India),2006/07,Tamil Nadu,290517
West Indies in England T20I Series,2007,drawn,258447
Twenty20 Cup (in England),2007,Kent,268027
Australia in India T20I Match,2007/08,India,297426
New Zealand in South Africa T20I Match,2007/08,South Africa,298789
New Zealand in Australia T20I Match,2007/08,Australia,291341
KFC Twenty20 (in Australia),2007/08,Victoria,298314
West Indies in South Africa T20I Series,2007/08,drawn,298790
India in Australia T20I Match,2007/08,Australia,291355
State Twenty20 (in New Zealand),2007/08,Central D,296300
England in New Zealand T20I Series,2007/08,England,300418
Stanford 20/20 (in West Indies),2007/08,Trinidad & T,300764
Metropolitan Bank Twenty20 (in Zimbabwe),2007/08,Easterns,342325
Bangladesh in Pakistan T20I Match,2007/08,Pakistan,343758
Standard Bank Pro20 Series (in South Africa),2007/08,Titans,298852
Sri Lanka Cricket Inter-Provincial Twenty20 Tournament,2007/08,Wayamba,341775
Indian Premier League (in India),2007/08,Royals,313494
New Zealand in England T20I Match,2008,England,296894
Australia in West Indies T20I Match,2008,West Indies,319126
Twenty20 Cup (in England),2008,Middlesex,319695
RBS Twenty-20 Cup (in Pakistan),2008/09,S Stallions,369896
